name,author,downloads,link,theme,license,supported_glyphs,thumbnail_image
College,Matthew Welch,3183735,https://www.dafont.com/college.font,Old School,100% Free,not provided,https://www.dafont.com/img/preview/c/o/college1.png
Magic Sound,imagex,478423,https://www.dafont.com/magic-sound.font,Cartoon,Free for personal use,"à, €",https://www.dafont.com/img/preview/m/a/magic_sound0.png
Giver Made,177Studio,19748,https://www.dafont.com/giver-made.font,Distorted,Free for personal use,à,https://www.dafont.com/img/preview/g/i/giver_made1.png
Bright,Dharmas Studio,689979,https://www.dafont.com/bright-2.font,Retro,Free for personal use,not provided,https://www.dafont.com/img/preview/b/r/bright_20.png
Soopafresh,fuelfonts type foundry,971529,https://www.dafont.com/soopafresh.font,Distorted,Shareware,à,https://www.dafont.com/img/preview/s/o/soopafresh0.png
Blazed,Bright Ideas,4647630,https://www.dafont.com/blazed.font,"Fire, Ice",not provided,à,https://www.dafont.com/img/preview/b/l/blazed0.png
Mom's Typewriter,Christoph Mueller,2068548,https://www.dafont.com/moms-typewriter.font,Typewriter,100% Free,not provided,https://www.dafont.com/img/preview/m/o/moms_typewriter0.png
Annabel,Peter Olexa,655832,https://www.dafont.com/annabel.font,Retro,Free for personal use,not provided,https://www.dafont.com/img/preview/a/n/annabel1.png
Hyper Super Fast,Bisou,21980,https://www.dafont.com/hypersuperfast.font,Various,Donationware,"à, €",https://www.dafont.com/img/preview/h/y/hypersuperfast1.png
Super Summer,fsuarez913,451,https://www.dafont.com/super-summer.font,Groovy,Free for personal use,"à, €",https://www.dafont.com/img/preview/s/u/super_summer0.png
Magazine Letter,brentuserr,168415,https://www.dafont.com/magazine-letter.font,Decorative,Free for personal use,not provided,https://www.dafont.com/img/preview/m/a/magazine_letter0.png
Texas Tango,Billy Argel Fonts ®,1311485,https://www.dafont.com/texas-tango.font,Western,Free for personal use,"à, €",https://www.dafont.com/img/preview/t/e/texas_tango0.png
Campus,Billy Argel Fonts ®,1250013,https://www.dafont.com/campus.font,Old School,Free for personal use,à,https://www.dafont.com/img/preview/c/a/campus0.png
Rushen,Arterfak Project,7703,https://www.dafont.com/rushen.font,Eroded,Free for personal use,€,https://www.dafont.com/img/preview/r/u/rushen1.png
Revamped,Chequered Ink,730768,https://www.dafont.com/revamped.font,"Stencil, Army",Free for personal use,not provided,https://www.dafont.com/img/preview/r/e/revamped0.png
Flowers Kingdom,imagex,605968,https://www.dafont.com/flowers-kingdom.font,Groovy,Free for personal use,"à, €",https://www.dafont.com/img/preview/f/l/flowers_kingdom0.png
Dezire Stacked,Dasagani Ramesh,505143,https://www.dafont.com/dezire-stacked.font,Decorative,Free for personal use,not provided,https://www.dafont.com/img/preview/d/e/dezire_stacked0.png
Academy,Vladimir Nikolic,590528,https://www.dafont.com/academy.font,Old School,Free for personal use,not provided,https://www.dafont.com/img/preview/a/c/academy0.png
CoffeCake,Khurasan,267853,https://www.dafont.com/coffecake.font,Cartoon,100% Free,€,https://www.dafont.com/img/preview/c/o/coffecake1.png
Bloody,James Fordyce,1378341,https://www.dafont.com/bloody.font,Horror,100% Free,not provided,https://www.dafont.com/img/preview/b/l/bloody0.png
Ka Blam,imagex,621365,https://www.dafont.com/ka-blam.font,Comic,Free for personal use,not provided,https://www.dafont.com/img/preview/k/a/ka_blam0.png
KG Chasing Cars,Kimberly Geswein,1598712,https://www.dafont.com/kg-chasing-cars.font,Decorative,Free for personal use,à,https://www.dafont.com/img/preview/k/g/kg_chasing_cars0.png
Carnivalee Freakshow,Christopher Hansen,3700086,https://www.dafont.com/carnivalee-freakshow.font,Western,Free for personal use,not provided,https://www.dafont.com/img/preview/c/a/carnivalee_freakshow0.png
PaybAck,Jayde Garrow,2804857,https://www.dafont.com/payback.font,Various,Free for personal use,not provided,https://www.dafont.com/img/preview/p/a/payback0.png
Genty,Ilham Herry,482134,https://www.dafont.com/genty.font,Groovy,Free for personal use,€,https://www.dafont.com/img/preview/g/e/genty0.png
University,Geronimo Font Studios,1492193,https://www.dafont.com/university-2.font,Old School,Free for personal use,not provided,https://www.dafont.com/img/preview/u/n/university_20.png
Bonello,Creative Media Lab,46966,https://www.dafont.com/bonello.font,Curly,Free for personal use,"à, €",https://www.dafont.com/img/preview/b/o/bonello0.png
Manga Temple,Blambot,890864,https://www.dafont.com/manga-temple.font,Comic,Free for personal use,not provided,https://www.dafont.com/img/preview/m/a/manga_temple0.png
Stranger back in the Night,Cat.B,1488607,https://www.dafont.com/stranger-back-in-the-night.font,Horror,Free for personal use,"à, €",https://www.dafont.com/img/preview/s/t/stranger_back_in_the_night0.png
Collegiate FLF,Casady & Greene,1600816,https://www.dafont.com/collegiateflf.font,Old School,not provided,not provided,https://www.dafont.com/img/preview/c/o/collegiateflf2.png
Positions,arixbored,288563,https://www.dafont.com/positions.font,Distorted,Free for personal use,not provided,https://www.dafont.com/img/preview/p/o/positions0.png
Bad Grunge,Jayde Garrow,1395892,https://www.dafont.com/bad-grunge.font,Destroy,Free for personal use,not provided,https://www.dafont.com/img/preview/b/a/bad_grunge0.png
Super Magic,fsuarez913,110160,https://www.dafont.com/super-magic.font,Groovy,100% Free,"à, €",https://www.dafont.com/img/preview/s/u/super_magic0.png
Kawaii Stitch,Hawtpixel,661245,https://www.dafont.com/kawaii-stitch.font,Cartoon,Free for personal use,€,https://www.dafont.com/img/preview/k/a/kawaii_stitch1.png
Blantick Script,Damarletter,376762,https://www.dafont.com/blantick-script.font,Curly,Free for personal use,"à, €",https://www.dafont.com/img/preview/b/l/blantick_script0.png
Sectar,Youssef Habchi,743249,https://www.dafont.com/sectar.font,Horror,Free for personal use,"à, €",https://www.dafont.com/img/preview/s/e/sectar0.png
Jackpot,imagex,737735,https://www.dafont.com/jackpot.font,Cartoon,Free for personal use,€,https://www.dafont.com/img/preview/j/a/jackpot0.png
Bones,Haunted House Fonts,593737,https://www.dafont.com/bones.font,Decorative,100% Free,not provided,https://www.dafont.com/img/preview/b/o/bones0.png
Potato Sans,4RM Font,118945,https://www.dafont.com/potato-sans.font,Comic,Free for personal use,not provided,https://www.dafont.com/img/preview/p/o/potato_sans1.png
Another Typewriter,Johan Holmdahl,2448205,https://www.dafont.com/another-typewriter.font,Typewriter,100% Free,not provided,https://www.dafont.com/img/preview/a/n/another_typewriter0.png
Creepsville,Tony O'Farrell,828245,https://www.dafont.com/creepsville.font,Horror,not provided,not provided,https://www.dafont.com/img/preview/c/r/creepsville0.png
Unfair Shares,177Studio,28438,https://www.dafont.com/unfair-shares.font,Retro,Free for personal use,à,https://www.dafont.com/img/preview/u/n/unfair_shares1.png
Cheeky Rabbit,Ayu Lovayu,1337534,https://www.dafont.com/cheeky-rabbit.font,Comic,Free for personal use,not provided,https://www.dafont.com/img/preview/c/h/cheeky_rabbit0.png
Permola Display,Tebaltipis Studio,5959,https://www.dafont.com/permola-display.font,Retro,Free for personal use,"à, €",https://www.dafont.com/img/preview/p/e/permola_display0.png
Adventure,Pixel Sagas,2653602,https://www.dafont.com/adventure.font,Comic,Free for personal use,"à, €",https://www.dafont.com/img/preview/a/d/adventure1.png
Janda Manatee,Kimberly Geswein,2062557,https://www.dafont.com/janda-manatee.font,Comic,Free for personal use,"à, €",https://www.dafont.com/img/preview/j/a/janda_manatee1.png
